city,state,latitude,longitude
Abbeville,GA,31.96737369,-83.32939533
Acworth,GA,34.06303621,-84.66397131
Adairsville,GA,34.36718335,-84.92485004
Adel,GA,31.1317872,-83.42589368
Adrian,GA,32.55091863,-82.59129489
Ailey,GA,32.18709676,-82.51348281
Alamo,GA,32.13900045,-82.78748184
Alapaha,GA,31.38536892,-83.22098432
Albany,GA,31.57083613,-84.166762
Allenhurst,GA,31.76386835,-81.61824136
Allentown,GA,32.60089864,-83.22560986
Alma,GA,31.54576563,-82.46122899
Alpharetta,GA,34.08106531,-84.26098123
Alston,GA,32.08032383,-82.477639
Alto,GA,34.45536544,-83.59123049
Ambrose,GA,31.56715634,-83.00538356
Americus,GA,32.07210545,-84.22713961
Andersonville,GA,32.1965974,-84.13012381
Appling,GA,33.59869976,-82.32774081
Arabi,GA,31.83350929,-83.72855271
Aragon,GA,34.07176361,-85.07315646
Arcade,GA,34.08776616,-83.57745227
Argyle,GA,31.07178427,-82.64918585
Arlington,GA,31.43316849,-84.71195413
Armuchee,GA,34.42329955,-85.16805007
Arnoldsville,GA,33.88904941,-83.22390032
Ashburn,GA,31.70462395,-83.65775684
Athens,GA,33.95225076,-83.39025511
Atlanta,GA,33.77875617,-84.40139723
Attapulgus,GA,30.74882617,-84.49335323
Auburn,GA,34.02627173,-83.84471417
Augusta,GA,33.44794779,-82.0375642
Austell,GA,33.81610532,-84.60959848
Avalon,GA,34.52019961,-83.15878345
Avera,GA,33.16911563,-82.52519895
Avondale Estates,GA,33.77325859,-84.26173081
Axson,GA,31.3022689,-82.73950132
Baconton,GA,31.37971377,-84.12658822
Bainbridge,GA,30.89067845,-84.58377874
Baldwin,GA,34.4689889,-83.50809819
Ball Ground,GA,34.32640221,-84.35238497
Barnesville,GA,33.05770206,-84.14556553
Barney,GA,30.99900966,-83.52095152
Bartow,GA,32.89776726,-82.49893423
Barwick,GA,30.89591042,-83.7433706
Baxley,GA,31.78370071,-82.35180443
Bellville,GA,32.152548,-81.974024
Berkeley Lake,GA,33.98204563,-84.18372711
Berlin,GA,31.07123795,-83.62385805
Bethlehem,GA,33.92950335,-83.76781737
Between,GA,33.80540132,-83.73079987
Big Canoe,GA,34.45834317,-84.39667271
Bishop,GA,33.82103527,-83.483411
Black Creek,GA,32.20913455,-81.47869963
Blackshear,GA,31.28917656,-82.26312901
Blairsville,GA,34.87371781,-83.9986507
Blakely,GA,31.3479618,-84.94261341
Bloomingdale,GA,32.12858891,-81.33797942
Blue Ridge,GA,34.86170162,-84.3384676
Bluffton,GA,31.53344739,-84.86501277
Blythe,GA,33.3008908,-82.18372217
Bogart,GA,33.92762731,-83.52428942
Bonaire,GA,32.54875256,-83.6109542
Boston,GA,30.81207631,-83.79585025
Bowdon,GA,33.5334399,-85.25415462
Bowersville,GA,34.37280599,-83.03753152
Bowman,GA,34.19253814,-83.03505978
